"location"	"img"	"similarity"
"angel_of_the_north"	"3106390483"	1
"angel_of_the_north"	"3101027112"	1
"angel_of_the_north"	"3100190697"	1
"angel_of_the_north"	"3106388273"	1
"angel_of_the_north"	"3102382427"	1
"angel_of_the_north"	"3100190139"	1
"angel_of_the_north"	"3101030298"	1
"angel_of_the_north"	"3100192297"	1
"angel_of_the_north"	"3103218274"	1
"angel_of_the_north"	"3107221768"	1
"angel_of_the_north"	"3102381947"	1
"angel_of_the_north"	"3102384681"	1
"angel_of_the_north"	"3106390173"	1
"angel_of_the_north"	"3106389173"	1
"angel_of_the_north"	"3102382209"	1
"angel_of_the_north"	"3082007635"	1
"angel_of_the_north"	"3082007427"	1
"angel_of_the_north"	"3071372614"	1
"angel_of_the_north"	"3070534991"	1
"angel_of_the_north"	"455623079"	1
"angel_of_the_north"	"276319569"	1
"angel_of_the_north"	"278548241"	1
"angel_of_the_north"	"278548346"	1
"angel_of_the_north"	"278548028"	1
"angel_of_the_north"	"278547706"	1
"angel_of_the_north"	"278546373"	1
"angel_of_the_north"	"278544757"	1
"angel_of_the_north"	"278546113"	1
"angel_of_the_north"	"278547181"	1
"angel_of_the_north"	"278548445"	1
"angel_of_the_north"	"278547325"	1
"angel_of_the_north"	"278547939"	1
"angel_of_the_north"	"278546233"	1
"angel_of_the_north"	"278545009"	1
"angel_of_the_north"	"2873159696"	1
"angel_of_the_north"	"2873158508"	1
"angel_of_the_north"	"2872331799"	1
"angel_of_the_north"	"2872340457"	1
"angel_of_the_north"	"2873157332"	1
"angel_of_the_north"	"2872336521"	1
"angel_of_the_north"	"2872337795"	1
"angel_of_the_north"	"2059702220"	1
"angel_of_the_north"	"2059702588"	1
"angel_of_the_north"	"2058915961"	1
"angel_of_the_north"	"2058916245"	1
"angel_of_the_north"	"2058917961"	1
"angel_of_the_north"	"2058915459"	1
"angel_of_the_north"	"2058916965"	1
"angel_of_the_north"	"2058917075"	1
"angel_of_the_north"	"2058915725"	1
"angel_of_the_north"	"3937929027"	1
"angel_of_the_north"	"3337175001"	1
"angel_of_the_north"	"318612384"	1
"angel_of_the_north"	"318616892"	1
